"","Subject","trialNum","adaptor","exposureLength","response","soundfile","keyResp","keyRT","Time"
"83","ABCD_1702",2,"d",70,"b","a_bd10_CV.wav","z",2.55140900612,239.036560059
"84","ABCD_1702",2,"d",70,"d","a_bd12_CV.wav","m",0.647588014603,239.884484053
"85","ABCD_1702",2,"d",70,"b","a_bd04_CV.wav","z",0.663566827774,240.748411894
"86","ABCD_1702",2,"d",70,"d","a_bd14_CV.wav","m",0.73548412323,241.684242964
"87","ABCD_1702",2,"d",70,"b","a_bd08_CV.wav","z",0.671633005142,242.556279898
"88","ABCD_1702",2,"d",70,"b","a_bd06_CV.wav","z",1.3034350872,244.060086966
"89","ABCD_1702",2,"d",70,"d","a_bd16_CV.wav","m",0.559592962265,244.820018053
"90","ABCD_1702",2,"d",70,"d","a_bd18_CV.wav","m",0.599504947662,245.61986804
"91","ABCD_1702",3,"b",70,"d","a_bd16_CV.wav","m",1.11349105835,286.358644962
"92","ABCD_1702",3,"b",70,"d","a_bd10_CV.wav","m",1.26332998276,287.822346926
"93","ABCD_1702",3,"b",70,"d","a_bd12_CV.wav","m",0.80747294426,288.830169916
"94","ABCD_1702",3,"b",70,"b","a_bd02_CV.wav","z",0.575594902039,289.606113911
"95","ABCD_1702",3,"b",70,"d","a_bd08_CV.wav","m",1.47181487083,291.278296947
"96","ABCD_1702",3,"b",70,"d","a_bd18_CV.wav","m",0.783301115036,292.261955976
"97","ABCD_1702",3,"b",70,"d","a_bd14_CV.wav","m",0.903532981873,293.365849972
"98","ABCD_1702",3,"b",70,"b","a_bd06_CV.wav","z",0.639541149139,294.205744028
"99","ABCD_1702",3,"b",70,"b","a_bd04_CV.wav","z",0.631562948227,295.037674904
"100","ABCD_1702",4,"d",70,"d","a_bd14_CV.wav","m",1.161495924,335.792176962
"101","ABCD_1702",4,"d",70,"b","a_bd02_CV.wav","z",0.719676017761,336.712234974
"102","ABCD_1702",4,"d",70,"d","a_bd12_CV.wav","m",0.679498910904,337.592102051
"103","ABCD_1702",4,"d",70,"b","a_bd08_CV.wav","z",0.639667034149,338.432131052
"104","ABCD_1702",4,"d",70,"b","a_bd06_CV.wav","z",0.663511991501,339.296014071
"105","ABCD_1702",4,"d",70,"b","a_bd10_CV.wav","z",0.759499073029,340.255846977
"106","ABCD_1702",4,"d",70,"d","a_bd16_CV.wav","m",0.59957408905,341.055799007
"107","ABCD_1702",4,"d",70,"d","a_bd18_CV.wav","m",0.823585033417,342.079753876
"108","ABCD_1702",4,"d",70,"b","a_bd04_CV.wav","z",0.711552858353,342.991648912
"109","ABCD_1702",5,"d",70,"b","a_bd06_CV.wav","z",1.31904792786,383.815615892
"110","ABCD_1702",5,"d",70,"b","a_bd04_CV.wav","z",0.815560102463,384.831549883
"111","ABCD_1702",5,"d",70,"d","a_bd12_CV.wav","m",0.559350967407,385.591625929
"112","ABCD_1702",5,"d",70,"d","a_bd14_CV.wav","m",0.57560300827,386.367568016
"113","ABCD_1702",5,"d",70,"b","a_bd10_CV.wav","z",0.783665895462,387.351590872
"114","ABCD_1702",5,"d",70,"b","a_bd02_CV.wav","z",0.639414072037,388.191380024
"115","ABCD_1702",5,"d",70,"d","a_bd16_CV.wav","m",0.615597009659,389.007339954
"116","ABCD_1702",5,"d",70,"d","a_bd18_CV.wav","m",0.647882223129,389.855558872
"117","ABCD_1702",5,"d",70,"b","a_bd08_CV.wav","z",0.575274944305,390.631196022
"118","ABCD_1702",6,"b",70,"d","a_bd12_CV.wav","m",0.923398017883,431.203536987
"119","ABCD_1702",6,"b",70,"d","a_bd14_CV.wav","m",0.647629976273,432.051514864
"120","ABCD_1702",6,"b",70,"b","a_bd02_CV.wav","z",0.503303050995,432.755183935
"121","ABCD_1702",6,"b",70,"d","a_bd18_CV.wav","m",0.487586975098,433.44313693
"122","ABCD_1702",6,"b",70,"b","a_bd06_CV.wav","z",0.527710914612,434.171242952
"123","ABCD_1702",6,"b",70,"d","a_bd16_CV.wav","m",0.479476928711,434.85106492
"124","ABCD_1702",6,"b",70,"b","a_bd04_CV.wav","z",0.583661079407,435.63508296
"125","ABCD_1702",6,"b",70,"b","a_bd08_CV.wav","z",0.663671970367,436.499094963
"126","ABCD_1702",6,"b",70,"d","a_bd10_CV.wav","m",0.911581993103,437.611029863
"127","ABCD_1702",7,"d",70,"b","a_bd10_CV.wav","z",0.871444940567,477.799592018
"128","ABCD_1702",7,"d",70,"b","a_bd08_CV.wav","z",0.72718501091,478.727398872
"129","ABCD_1702",7,"d",70,"b","a_bd02_CV.wav","z",0.639577865601,479.567354918
"130","ABCD_1702",7,"d",70,"d","a_bd18_CV.wav","m",0.551671981812,480.319380999
"131","ABCD_1702",7,"d",70,"d","a_bd12_CV.wav","m",1.17552685738,481.695272923
"132","ABCD_1702",7,"d",70,"b","a_bd04_CV.wav","z",0.583629131317,482.479256868
"133","ABCD_1702",7,"d",70,"b","a_bd06_CV.wav","z",0.679548978806,483.359148979
"134","ABCD_1702",7,"d",70,"d","a_bd14_CV.wav","m",0.607651948929,484.167176962
"135","ABCD_1702",7,"d",70,"d","a_bd16_CV.wav","m",0.727510929108,485.095067024
"136","ABCD_1702",8,"b",70,"b","a_bd02_CV.wav","z",1.16226696968,525.757154942
"137","ABCD_1702",8,"b",70,"b","a_bd06_CV.wav","z",2.36720490456,528.324761868
"138","ABCD_1702",8,"b",70,"b","a_bd04_CV.wav","z",0.727488994598,529.252589941
"139","ABCD_1702",8,"b",70,"d","a_bd16_CV.wav","m",0.56759095192,530.020521879
"140","ABCD_1702",8,"b",70,"d","a_bd12_CV.wav","m",0.639578819275,530.86043787
"141","ABCD_1702",8,"b",70,"d","a_bd10_CV.wav","m",0.65567111969,531.716464043
"142","ABCD_1702",8,"b",70,"d","a_bd08_CV.wav","m",0.775475978851,532.692297935
"143","ABCD_1702",8,"b",70,"d","a_bd14_CV.wav","m",0.727634906769,533.620288849
"144","ABCD_1702",8,"b",70,"d","a_bd18_CV.wav","m",0.687678098679,534.508312941
"145","ABCD_1703",1,"b",70,"d","a_bd10_CV.wav","m",1.54959917068,168.089130878
"146","ABCD_1703",1,"b",70,"b","a_bd06_CV.wav","z",1.00764703751,169.297134876
"147","ABCD_1703",1,"b",70,"d","a_bd14_CV.wav","m",0.767701864243,170.265178919
"148","ABCD_1703",1,"b",70,"d","a_bd18_CV.wav","m",0.655596017838,171.121185064
"149","ABCD_1703",1,"b",70,"b","a_bd04_CV.wav","z",0.847772836685,172.169331074
"150","ABCD_1703",1,"b",70,"d","a_bd08_CV.wav","m",0.775503873825,173.145166874
"151","ABCD_1703",1,"b",70,"d","a_bd12_CV.wav","m",0.615556001663,173.961056948
"152","ABCD_1703",1,"b",70,"b","a_bd02_CV.wav","z",0.831629991531,174.993052959
"153","ABCD_1703",1,"b",70,"d","a_bd16_CV.wav","m",0.67155790329,175.864953995
"154","ABCD_1703",2,"d",70,"d","a_bd14_CV.wav","m",1.410779953,216.83769989
"155","ABCD_1703",2,"d",70,"d","a_bd16_CV.wav","m",0.887562036514,217.92563796
"156","ABCD_1703",2,"d",70,"b","a_bd08_CV.wav","z",0.879738092422,219.005723
"157","ABCD_1703",2,"d",70,"b","a_bd10_CV.wav","z",0.847508907318,220.053597927
"158","ABCD_1703",2,"d",70,"b","a_bd04_CV.wav","z",0.887625932693,221.141597986
"159","ABCD_1703",2,"d",70,"d","a_bd12_CV.wav","m",0.647584199905,221.989541054
"160","ABCD_1703",2,"d",70,"b","a_bd02_CV.wav","z",1.03959703445,223.229511023
"161","ABCD_1703",2,"d",70,"d","a_bd18_CV.wav","m",0.65561580658,224.085471869
"162","ABCD_1703",2,"d",70,"b","a_bd06_CV.wav","z",0.735642910004,225.021473885
"163","ABCD_1703",3,"b",70,"d","a_bd16_CV.wav","m",1.3288629055,265.843709946
"164","ABCD_1703",3,"b",70,"b","a_bd04_CV.wav","z",0.959719896317,267.003762007
"165","ABCD_1703",3,"b",70,"b","a_bd06_CV.wav","z",0.823665142059,268.027759075
"166","ABCD_1703",3,"b",70,"d","a_bd12_CV.wav","m",0.575616836548,268.803711891
"167","ABCD_1703",3,"b",70,"d","a_bd08_CV.wav","m",0.647783994675,269.651853085
"168","ABCD_1703",3,"b",70,"d","a_bd14_CV.wav","m",0.807376861572,270.659642935
"169","ABCD_1703",3,"b",70,"b","a_bd02_CV.wav","z",0.90353012085,271.763550043
"170","ABCD_1703",3,"b",70,"d","a_bd10_CV.wav","m",0.759617090225,272.723545074
