"","PartID","NS","S","m_fd","se","ntd","b","d","mean_diff","diff_8"
"25","ABCD_1727",NA,NA,NA,NA,NA,0.0305659916656038,0.0339261204728706,0.222222222222222,0.75
"26","ABCD_1728",24.01004028318,12.0899242908,64.1773649124792,9.56873708108892,-0.330197442935214,0.0330885223696458,0.0339261204728706,0.166666666666667,0.5
"27","ABCD_1729",NA,NA,NA,NA,NA,0.0297218816196885,0.0347621062592119,0.25,1
"28","ABCD_1730",24.7722484447478,7.67205922441727,66.1997563278713,10.1244714133394,-0.527062848580445,0.0314084642516241,0.0330885223696458,0.25,1
"29","ABCD_1731",NA,NA,NA,NA,NA,0.0263289387223491,0.0347621062592119,0.222222222222222,1
"30","ABCD_1732",30.5443359374968,10.3311053324982,60.320449277268,8.68194052747817,-0.49450794846431,0.0314084642516241,0.0339261204728706,0.222222222222222,1
"31","ABCD_1733",22.25427246096,5.18503033689286,56.0396597258041,8.60980213386779,-0.622072734493925,0.0330885223696458,0.0330885223696458,0.222222222222222,0.5
"32","ABCD_1734",40.6598772321429,15.6458247791655,78.7531037457207,9.91067435441907,-0.444254339426469,0.0305659916656038,0.0305659916656038,0.25,0.75
"33","ABCD_1735",26.494140625,10.4122289021743,104.496589523179,16.4124759358495,-0.435748948727795,0.0322493057183553,0.0330885223696458,0.194444444444444,0
"34","ABCD_1736",13.2289250691738,3.65309368405022,63.1265989561168,9.5229396853983,-0.567220752748829,0.0314084642516241,0.0347621062592119,0.138888888888889,1
"35","ABCD_1737",18.39619029652,6.78374487906,60.8805771325409,9.7330940459314,-0.461178527128298,0.0330885223696458,0.0339261204728706,0.111111111111111,0.25
"36","ABCD_1738",NA,NA,NA,NA,NA,0.0271796627591255,0.0299632233774432,0.111111111111111,0.5
"37","ABCD_1739",54.53125,12.8908916314342,94.2395332372044,12.2369532083744,-0.617606580879535,0.0263289387223491,0.0330885223696458,0.166666666666667,0.5
"38","ABCD_1740",31.7001488095238,12.346343994151,125.931819640486,17.5607800822123,-0.439394911682008,0.0203267476803402,0.0347621062592119,0.222222222222222,1
"39","ABCD_1742",19.352081343532,15.354733614494,43.2654571495952,7.64677338616113,-0.115174720984115,0.0322493057183553,0.0322493057183553,0.277777777777778,0.75
"40","ABCD_1743",NA,NA,NA,NA,NA,0.0322493057183553,0.0339261204728706,0.222222222222222,0.75
"41","ABCD_1744",NA,NA,NA,NA,NA,0.0339261204728706,0.0330885223696458,0.194444444444444,0.25
"42","ABCD_1745",48.6431206597222,102.862215909091,112.762866462629,11.7051621153616,0.357869210928703,0.0203267476803402,0.0218213599961182,0.333333333333333,0.5
"43","ABCD_1746",NA,NA,NA,NA,NA,0.0347621062592119,0.0339261204728706,0.0833333333333333,0
"44","ABCD_1747",21.459030151377,18.5704258510133,88.0757740565743,12.8772264793764,-0.0721619674319625,0.0220501407430741,0.0305659916656038,0.25,0.75
"45","ABCD_1748",NA,NA,NA,NA,NA,0.0314084642516241,0.0347621062592119,0.194444444444444,1
"46","ABCD_1749",NA,NA,NA,NA,NA,0.0177287669604316,0.0237667219577487,0.222222222222222,0.5
"47","ABCD_1751",15.46971638997,11.02257847786,62.171978025925,9.55381464427561,-0.16786533346004,0.0271796627591255,0.0305659916656038,0.0555555555555556,0.25
"48","ABCD_1752",17.4599493212242,10.963022734974,48.8090273288224,8.62252387462383,-0.228580127841817,0.0314084642516241,0.0347621062592119,0.166666666666667,0.5
"49","ABCD_1753",NA,NA,NA,NA,NA,0.0330885223696458,0.0347621062592119,0.0555555555555556,0.25
"50","ABCD_1754",74.765625,9.85227570388649,121.897784314064,16.0996857583713,-0.767134953197108,0.0305659916656038,0.0339261204728706,0.194444444444444,0.75
"51","ABCD_1755",NA,NA,NA,NA,NA,0.0322493057183553,0.0347621062592119,0.111111111111111,0.5
"52","ABCD_1756",68.6328125,12.9420018196167,101.584480094909,13.7866768004974,-0.682696137832227,0.0220501407430741,0.0314084642516241,0.166666666666667,0.75
"53","ABCD_1758",26.2430895291777,11.1975215375438,51.7636598518881,7.73821640359749,-0.401851560724311,0.0330885223696458,0.0330885223696458,0.222222222222222,0.5
"54","ABCD_1759",NA,NA,NA,NA,NA,0.0280287236002435,0.0330885223696458,0.166666666666667,0.5
"55","ABCD_1760",14.4401411576668,13.2598810610539,83.3887274790594,12.4562177064848,-0.0426086335705262,0.0280287236002435,0.0322493057183553,0.25,0.75
"56","ABCD_1763",216.153846153846,24.5334806896295,162.826452145629,18.3038539447001,-0.796138159732987,0.0297218816196885,0.0347621062592119,0.194444444444444,1
"57","ABCD_1764",14.5549774169975,21.6210464997718,63.4272912543594,8.62249258498884,0.195324646484956,0.0305659916656038,0.0314084642516241,0.25,0.25
"58","ABCD_1767",194.191176470588,54.5073784722222,226.775111607143,18.5904139512727,-0.561659065652742,0.0280287236002435,0.0347621062592119,0.222222222222222,1
"59","ABCD_1768",13.9000582615211,11.130083373035,48.7618741505635,5.41510754453466,-0.110665569892817,0.0322493057183553,0.0339261204728706,0.166666666666667,0.5
"60","ABCD_1771",22.3058505781982,11.7570387775218,44.7828185856295,7.60637723380613,-0.309686347817261,0.0244838186579434,0.0347621062592119,0.194444444444444,1
"61","ABCD_1772",NA,NA,NA,NA,NA,0.0194624797694321,0.0263289387223491,0.222222222222222,0.75
"62","ABCD_1773",NA,NA,NA,NA,NA,0.0220501407430741,0.0330885223696458,0.305555555555556,1
